,predict
2018-01-01,407.92492302696644
2018-02-01,408.6701452014234
2018-03-01,409.5743876498083
2018-04-01,411.0996684890185
2018-05-01,411.6968521735926
2018-06-01,410.9247685060405
2018-07-01,409.248428754668
2018-08-01,407.1337566093238
2018-09-01,405.7325339455875
2018-10-01,406.0039072036794
2018-11-01,407.5423759377455
2018-12-01,408.9662848932147
2019-01-01,410.1662933567009
2019-02-01,410.9110646518275
2019-03-01,411.8148247443861
2019-04-01,413.3393535920062
2019-05-01,413.9362379440301
2019-06-01,413.164510386892
2019-07-01,411.48895880552084
2019-08-01,409.3752845555324
2019-09-01,407.97472342509633
2019-10-01,408.24596738435184
2019-11-01,409.78370757201856
2019-12-01,411.20694241121845
2020-01-01,412.40638283639436
2020-02-01,413.1508015950371
2020-03-01,414.05413394840184
2020-04-01,415.5779413059854
2020-05-01,416.17454317571577
2020-06-01,415.403180821436
2020-07-01,413.728422170087
2020-08-01,411.6157481882525
2020-09-01,410.2158498549549
2020-10-01,410.4869654505811
2020-11-01,412.0239779210602
2020-12-01,413.446539231513
2021-01-01,414.6454120360182
2021-02-01,415.3894785074975
2021-03-01,416.2923833698101
2021-04-01,417.8154696041341
2021-05-01,418.4117891392976
2021-06-01,417.6407918228332
2021-07-01,415.96682573057666
2021-08-01,413.8551515459229
2021-09-01,412.45591569742874
2021-10-01,412.7269029909069
2021-11-01,414.2631880889888
2021-12-01,415.6850761896595
2022-01-01,416.8833816422387
2022-02-01,417.6270959933395
2022-03-01,418.5295735669434
2022-04-01,420.0519390192918
2022-05-01,420.6479763535117
2022-06-01,419.87734390211955
2022-07-01,418.2041699938903
2022-08-01,416.09349513327754
2022-09-01,414.694921456075
2022-10-01,414.96578050812315
2022-11-01,416.5013385780283
2022-12-01,417.9225537875054
2023-01-01,419.12029215665103
2023-02-01,419.86365455401005
2023-03-01,420.76570504111436
2023-04-01,422.2873500525885
2023-05-01,422.8831053194129
2023-06-01,422.11283756042496
2023-07-01,420.44045546133145
2023-08-01,418.3307794518418
2023-09-01,416.9328676325664
2023-10-01,417.20359850387325
2023-11-01,418.7384298896589
2023-12-01,420.15897252638
2024-01-01,421.35614408045734
2024-02-01,422.0991546906324
2024-03-01,423.00077829335066
2024-04-01,424.52170320489046
2024-05-01,425.11717653780426
2024-06-01,424.3472732986344
2024-07-01,422.67568263396265
2024-08-01,420.56700500290196
2024-09-01,419.1697547283376
2024-10-01,419.44035747956303
2024-11-01,420.97446252512356
2024-12-01,422.39433290737543
2025-01-01,423.5909379146228
2025-02-01,424.33359690409293
2025-03-01,425.23479382444293
2025-04-01,426.75499897682687
2025-05-01,427.35019050925195
2025-06-01,426.5806516173956
2025-07-01,424.90985201260895
2025-08-01,422.8021722875068
2025-09-01,421.4055832445854
2025-10-01,421.6760579363608
2025-11-01,423.2094369854278
2025-12-01,424.62863543134677
2026-01-01,425.8246741598756
2026-02-01,426.56698169504097
2026-03-01,427.46775213494493
2026-04-01,428.9872378687902
2026-05-01,429.58214773408514
2026-06-01,428.8129730171193
2026-07-01,427.14296409785834
2026-08-01,425.0362818064679
2026-09-01,423.64035368226973
2026-10-01,423.9107003751976
2026-11-01,425.4433537713402
2026-12-01,426.8618805989118
2027-01-01,428.0573533167066
2027-02-01,428.7993095638887
2027-03-01,429.6996537251733
2027-04-01,431.218420380936
2027-05-01,431.8130487123963
2027-06-01,431.04423799797974
2027-07-01,429.37501939006216
2027-08-01,427.26933406036017
2027-09-01,425.8740665421135
2027-10-01,426.14428529676775
2027-11-01,427.6762133833922
2027-12-01,429.09406891045177
2028-01-01,430.2889758853702
2028-02-01,431.0305810108117
2028-03-01,431.93049909520806
2028-04-01,433.4485470131831
2028-05-01,434.0428939440413
2028-06-01,433.27444705991417
2028-07-01,431.6060183893348
2028-08-01,429.50132954952124
2028-09-01,428.10672232460234
2028-10-01,428.3768132015282
2028-11-01,429.90801632187845
2028-12-01,431.32520086611066
2029-01-01,432.5195423658836
2029-02-01,433.2607965357487
2029-03-01,434.1602887448925
2029-04-01,435.67761826521377
2029-05-01,436.2716839286393
2029-06-01,435.5036007026234
2029-07-01,433.83596159555395
2029-08-01,431.73226877405216
2029-09-01,430.33832152998525
2029-10-01,430.6082845896993
2029-11-01,432.1387630868567
2029-12-01,433.55527696579605
2030-01-01,434.74905325802774
2030-02-01,435.4899566384018
2030-03-01,436.3890231738334
2030-04-01,437.9056346364738
2030-05-01,438.49941916557293
2030-06-01,437.7316994255715
2030-07-01,436.06484950836074
2030-08-01,433.96215223381716
2030-09-01,432.56886465827444
2030-10-01,432.8386999612646
2030-11-01,434.36845417814834
2030-12-01,435.78429770917893
2031-01-01,436.9775090613469
2031-02-01,437.7180618182368
2031-03-01,438.61670288140095
2031-04-01,440.1325966261726
2031-05-01,440.72610015398874
2031-06-01,439.9587437279865
2031-07-01,438.29268262715993
2031-08-01,436.19098042844416
2031-09-01,434.7983522092455
2031-10-01,435.068059815971
2031-11-01,436.59709009533793
2031-12-01,438.01226359569375
2032-01-01,439.204910275149
2032-02-01,439.94511257448306
2032-03-01,440.84332836672945
2032-04-01,442.3585047332835
2032-05-01,442.9517273927971
2032-06-01,442.1847341088601
2032-07-01,440.51946145112004
2032-08-01,438.4187538573246
2032-09-01,437.0267846824376
2032-10-01,437.2963646533293
2032-11-01,438.8246713377739
2032-12-01,440.2391751245388
2033-01-01,441.43125739850586
2033-02-01,442.1711094061338
2033-03-01,443.0689001287166
2033-04-01,444.5833594565435
2033-05-01,445.1763013806721
2033-06-01,444.40967106694774
2033-07-01,442.7451864791731
2033-08-01,440.64547301961335
2033-09-01,439.2541625771534
2033-10-01,439.5236149726133
2033-11-01,441.0511984045681
2033-12-01,442.46503279467584
2034-01-01,443.65655093025265
2034-02-01,444.3960528119457
2034-03-01,445.293418666024
2034-04-01,446.8071612944537
2034-05-01,447.39982261605184
2034-06-01,446.63355510076894
2034-07-01,444.9698582100152
2034-08-01,442.8711384142292
2034-09-01,441.4804863924592
2034-10-01,441.7498112728609
2034-11-01,443.27667179459627
2034-12-01,444.6898371048307
2035-01-01,445.8807913689889
2035-02-01,446.61994329043995
2035-03-01,447.5168844770776
2035-04-01,449.0299107452792
2035-05-01,449.62229159713866
2035-06-01,448.85638670860726
2035-07-01,447.1934771421065
2035-08-01,445.095750539855
2035-09-01,443.7057566271854
2035-10-01,443.9749540528737
2035-11-01,445.50109200649814
2035-12-01,446.9135885534931
2036-01-01,448.103979213078
2036-02-01,448.8427813399014
2036-03-01,449.7392980600671
2036-04-01,451.2516083070494
2036-05-01,451.84370882189904
